id_tarifa,id_region,anio_x,mes_x,base,intermedia,punta,id_infraestructura,anio_y,mes_y,distribucion,capacidad,estado,municipio,division
1,475,2024,ENERO,1.0702,1.9081,2.1752,1,2024,ENERO,101.75,401.05,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,475,2024,ENERO,1.0702,1.9081,2.1752,89,2024,FEBRERO,101.75,403.37,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,475,2024,ENERO,1.0702,1.9081,2.1752,177,2024,MARZO,101.75,408.46,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,475,2024,ENERO,1.0702,1.9081,2.1752,265,2024,ABRIL,101.75,408.47,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,475,2024,ENERO,1.0702,1.9081,2.1752,349,2024,MAYO,101.75,408.47,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,475,2024,ENERO,1.0702,1.9081,2.1752,435,2024,JUNIO,101.75,408.47,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,475,2024,ENERO,1.0702,1.9081,2.1752,523,2024,JULIO,101.75,420.02,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,475,2024,ENERO,1.0702,1.9081,2.1752,611,2024,AGOSTO,101.75,423.67,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,475,2024,ENERO,1.0702,1.9081,2.1752,699,2024,SEPTIEMBRE,101.75,423.69,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,475,2024,ENERO,1.0702,1.9081,2.1752,787,2024,OCTUBRE,101.75,423.7,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
1,475,2024,ENERO,1.0702,1.9081,2.1752,875,2024,NOVIEMBRE,101.75,423.69,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
2,476,2024,ENERO,0.6168,0.9631,1.3033,2,2024,ENERO,93.44,366.07,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
2,476,2024,ENERO,0.6168,0.9631,1.3033,90,2024,FEBRERO,93.44,368.19,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
2,476,2024,ENERO,0.6168,0.9631,1.3033,178,2024,MARZO,93.44,372.83,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
2,476,2024,ENERO,0.6168,0.9631,1.3033,266,2024,ABRIL,93.44,372.84,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
2,476,2024,ENERO,0.6168,0.9631,1.3033,350,2024,MAYO,93.44,372.85,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
2,476,2024,ENERO,0.6168,0.9631,1.3033,436,2024,JUNIO,93.44,372.85,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
2,476,2024,ENERO,0.6168,0.9631,1.3033,524,2024,JULIO,93.44,383.39,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
2,476,2024,ENERO,0.6168,0.9631,1.3033,612,2024,AGOSTO,93.44,386.71,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
2,476,2024,ENERO,0.6168,0.9631,1.3033,700,2024,SEPTIEMBRE,93.44,386.73,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
2,476,2024,ENERO,0.6168,0.9631,1.3033,788,2024,OCTUBRE,93.44,386.75,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
2,476,2024,ENERO,0.6168,0.9631,1.3033,876,2024,NOVIEMBRE,93.44,386.74,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
3,477,2024,ENERO,2.1348,2.7131,3.823,3,2024,ENERO,93.44,262.41,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR
3,477,2024,ENERO,2.1348,2.7131,3.823,91,2024,FEBRERO,93.44,263.93,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR
3,477,2024,ENERO,2.1348,2.7131,3.823,179,2024,MARZO,93.44,267.26,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR
3,477,2024,ENERO,2.1348,2.7131,3.823,267,2024,ABRIL,93.44,267.26,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR
3,477,2024,ENERO,2.1348,2.7131,3.823,351,2024,MAYO,93.44,267.27,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR
3,477,2024,ENERO,2.1348,2.7131,3.823,437,2024,JUNIO,93.44,267.27,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR
3,477,2024,ENERO,2.1348,2.7131,3.823,525,2024,JULIO,93.44,274.82,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR
3,477,2024,ENERO,2.1348,2.7131,3.823,613,2024,AGOSTO,93.44,277.21,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR
3,477,2024,ENERO,2.1348,2.7131,3.823,701,2024,SEPTIEMBRE,93.44,277.22,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR
3,477,2024,ENERO,2.1348,2.7131,3.823,789,2024,OCTUBRE,93.44,277.23,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR
3,477,2024,ENERO,2.1348,2.7131,3.823,877,2024,NOVIEMBRE,93.44,277.22,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR
4,478,2024,ENERO,1.2534,2.1166,2.3629,4,2024,ENERO,95.44,401.05,CAMPECHE,CALAKMUL,PENINSULAR
4,478,2024,ENERO,1.2534,2.1166,2.3629,92,2024,FEBRERO,95.44,403.37,CAMPECHE,CALAKMUL,PENINSULAR
4,478,2024,ENERO,1.2534,2.1166,2.3629,180,2024,MARZO,95.44,408.46,CAMPECHE,CALAKMUL,PENINSULAR
4,478,2024,ENERO,1.2534,2.1166,2.3629,268,2024,ABRIL,95.44,408.47,CAMPECHE,CALAKMUL,PENINSULAR
4,478,2024,ENERO,1.2534,2.1166,2.3629,352,2024,MAYO,95.44,408.47,CAMPECHE,CALAKMUL,PENINSULAR
4,478,2024,ENERO,1.2534,2.1166,2.3629,438,2024,JUNIO,95.44,408.47,CAMPECHE,CALAKMUL,PENINSULAR
4,478,2024,ENERO,1.2534,2.1166,2.3629,526,2024,JULIO,95.44,420.02,CAMPECHE,CALAKMUL,PENINSULAR
4,478,2024,ENERO,1.2534,2.1166,2.3629,614,2024,AGOSTO,95.44,423.67,CAMPECHE,CALAKMUL,PENINSULAR
4,478,2024,ENERO,1.2534,2.1166,2.3629,702,2024,SEPTIEMBRE,95.44,423.69,CAMPECHE,CALAKMUL,PENINSULAR
4,478,2024,ENERO,1.2534,2.1166,2.3629,790,2024,OCTUBRE,95.44,423.7,CAMPECHE,CALAKMUL,PENINSULAR
4,478,2024,ENERO,1.2534,2.1166,2.3629,878,2024,NOVIEMBRE,95.44,423.69,CAMPECHE,CALAKMUL,PENINSULAR
5,479,2024,ENERO,1.0251,1.7863,2.0047,5,2024,ENERO,147.01,352.76,CAMPECHE,PALIZADA,SURESTE
5,479,2024,ENERO,1.0251,1.7863,2.0047,93,2024,FEBRERO,147.01,354.81,CAMPECHE,PALIZADA,SURESTE
5,479,2024,ENERO,1.0251,1.7863,2.0047,181,2024,MARZO,147.01,359.28,CAMPECHE,PALIZADA,SURESTE
5,479,2024,ENERO,1.0251,1.7863,2.0047,269,2024,ABRIL,147.01,359.29,CAMPECHE,PALIZADA,SURESTE
5,479,2024,ENERO,1.0251,1.7863,2.0047,353,2024,MAYO,147.01,359.3,CAMPECHE,PALIZADA,SURESTE
5,479,2024,ENERO,1.0251,1.7863,2.0047,439,2024,JUNIO,147.01,359.3,CAMPECHE,PALIZADA,SURESTE
5,479,2024,ENERO,1.0251,1.7863,2.0047,527,2024,JULIO,147.01,369.45,CAMPECHE,PALIZADA,SURESTE
