id_tarifa,id_region,anio_x,mes_x,base,intermedia,punta,id_infraestructura,anio_y,mes_y,distribucion,capacidad,estado,municipio,division
473,475,2021,ENERO,0.8927,1.5632,1.777,473,2021,ENERO,100.61,320.96,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
473,475,2021,ENERO,0.8927,1.5632,1.777,561,2021,FEBRERO,100.61,323.11,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
473,475,2021,ENERO,0.8927,1.5632,1.777,649,2021,MARZO,100.61,323.87,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
473,475,2021,ENERO,0.8927,1.5632,1.777,737,2021,ABRIL,100.61,336.01,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
473,475,2021,ENERO,0.8927,1.5632,1.777,825,2021,MAYO,100.61,337.76,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
473,475,2021,ENERO,0.8927,1.5632,1.777,912,2021,JUNIO,100.61,350.71,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
473,475,2021,ENERO,0.8927,1.5632,1.777,999,2021,JULIO,100.61,346.57,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
473,475,2021,ENERO,0.8927,1.5632,1.777,1086,2021,AGOSTO,100.61,345.9,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
473,475,2021,ENERO,0.8927,1.5632,1.777,1174,2021,SEPTIEMBRE,100.61,337.96,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
473,475,2021,ENERO,0.8927,1.5632,1.777,1262,2021,OCTUBRE,100.61,337.06,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
473,475,2021,ENERO,0.8927,1.5632,1.777,1350,2021,NOVIEMBRE,100.61,340.22,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
473,475,2021,ENERO,0.8927,1.5632,1.777,1438,2021,DICIEMBRE,100.61,344.52,AGUASCALIENTES,AGUASCALIENTES,BAJÍO
474,476,2021,ENERO,0.5298,0.8069,0.0,474,2021,ENERO,92.36,292.97,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
474,476,2021,ENERO,0.5298,0.8069,0.0,562,2021,FEBRERO,92.36,294.93,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
474,476,2021,ENERO,0.5298,0.8069,0.0,650,2021,MARZO,92.36,295.62,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
474,476,2021,ENERO,0.5298,0.8069,0.0,738,2021,ABRIL,92.36,306.7,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
474,476,2021,ENERO,0.5298,0.8069,0.0,826,2021,MAYO,92.36,308.3,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
474,476,2021,ENERO,0.5298,0.8069,0.0,913,2021,JUNIO,92.36,320.12,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
474,476,2021,ENERO,0.5298,0.8069,0.0,1000,2021,JULIO,92.36,316.34,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
474,476,2021,ENERO,0.5298,0.8069,0.0,1087,2021,AGOSTO,92.36,315.73,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
474,476,2021,ENERO,0.5298,0.8069,0.0,1175,2021,SEPTIEMBRE,92.36,308.48,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
474,476,2021,ENERO,0.5298,0.8069,0.0,1263,2021,OCTUBRE,92.36,307.66,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
474,476,2021,ENERO,0.5298,0.8069,0.0,1351,2021,NOVIEMBRE,92.36,310.54,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
474,476,2021,ENERO,0.5298,0.8069,0.0,1439,2021,DICIEMBRE,92.36,314.47,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA
475,477,2021,ENERO,1.7446,2.2075,0.0,475,2021,ENERO,92.36,210.01,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR
475,477,2021,ENERO,1.7446,2.2075,0.0,563,2021,FEBRERO,92.36,211.41,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR
475,477,2021,ENERO,1.7446,2.2075,0.0,651,2021,MARZO,92.36,211.91,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR
475,477,2021,ENERO,1.7446,2.2075,0.0,739,2021,ABRIL,92.36,219.85,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR
475,477,2021,ENERO,1.7446,2.2075,0.0,827,2021,MAYO,92.36,221.0,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR
475,477,2021,ENERO,1.7446,2.2075,0.0,914,2021,JUNIO,92.36,229.47,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR
475,477,2021,ENERO,1.7446,2.2075,0.0,1001,2021,JULIO,92.36,226.76,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR
