"id_infraestructura","id_region","mes","distribucion","capacidad"
1,44,"ENERO",101.75,401.05
2,38,"ENERO",101.75,401.05
3,47,"ENERO",101.75,401.05
4,42,"ENERO",101.75,401.05
5,41,"ENERO",101.75,401.05
6,51,"ENERO",93.44,366.07
7,50,"ENERO",93.44,366.07
8,49,"ENERO",93.44,366.07
9,48,"ENERO",93.44,366.07
10,52,"ENERO",93.44,366.07
11,53,"ENERO",93.44,262.41
12,54,"ENERO",93.44,262.41
13,55,"ENERO",93.44,262.41
14,57,"ENERO",93.44,262.41
15,56,"ENERO",93.44,262.41
16,59,"ENERO",95.44,401.05
17,58,"ENERO",95.44,401.05
18,62,"ENERO",95.44,401.05
19,63,"ENERO",95.44,401.05
20,66,"ENERO",147.01,352.76
21,1524,"ENERO",147.01,352.76
22,1241,"ENERO",147.01,352.76
23,1731,"ENERO",147.01,352.76
24,1242,"ENERO",147.01,352.76
25,84,"ENERO",147.01,352.76
26,147,"ENERO",75.79,410.85
27,168,"ENERO",75.79,410.85
28,165,"ENERO",75.79,410.85
29,156,"ENERO",75.79,410.85
30,1723,"ENERO",75.79,410.85
31,177,"ENERO",63.15,410.85
32,179,"ENERO",63.15,410.85
33,181,"ENERO",89.49,410.85
34,181,"ENERO",63.15,410.85
35,184,"ENERO",70.09,410.85
36,171,"ENERO",70.09,410.85
37,193,"ENERO",60.03,410.85
38,212,"ENERO",101.75,401.05
39,213,"ENERO",60.03,410.85
40,185,"ENERO",75.79,410.85
41,219,"ENERO",60.03,410.85
42,231,"ENERO",161.46,400.89
43,224,"ENERO",161.46,400.89
44,223,"ENERO",161.46,400.89
45,228,"ENERO",161.46,400.89
46,232,"ENERO",161.46,400.89
47,254,"ENERO",75.79,410.85
48,262,"ENERO",75.79,410.85
49,248,"ENERO",75.79,410.85
50,261,"ENERO",75.79,410.85
51,240,"ENERO",75.79,410.85
52,1996,"ENERO",229.58,373.12
53,1257,"ENERO",70.09,410.85
54,1349,"ENERO",229.58,373.12
55,1252,"ENERO",70.09,410.85
56,1352,"ENERO",229.58,373.12
57,340,"ENERO",101.75,401.05
58,328,"ENERO",101.75,401.05
59,362,"ENERO",101.75,401.05
60,355,"ENERO",101.75,401.05
61,371,"ENERO",101.75,401.05
62,390,"ENERO",229.58,373.12
63,414,"ENERO",229.58,373.12
64,374,"ENERO",155.26,397.32
65,375,"ENERO",229.58,373.12
66,380,"ENERO",229.58,373.12
67,408,"ENERO",229.58,373.12
68,443,"ENERO",155.26,397.32
69,442,"ENERO",155.26,397.32
70,471,"ENERO",129.27,401.05
71,1548,"ENERO",129.27,401.05
72,1284,"ENERO",129.27,401.05
73,1606,"ENERO",166.57,401.05
74,543,"ENERO",166.57,401.05
75,1904,"ENERO",166.57,401.05
76,1292,"ENERO",166.57,401.05
77,514,"ENERO",166.57,401.05
78,1574,"ENERO",161.46,400.89
79,565,"ENERO",161.46,400.89
80,555,"ENERO",161.46,400.89
81,1621,"ENERO",161.46,400.89
82,550,"ENERO",161.46,400.89
83,616,"ENERO",229.58,373.12
84,608,"ENERO",229.58,373.12
85,615,"ENERO",229.58,373.12
86,605,"ENERO",229.58,373.12
87,610,"ENERO",229.58,373.12
88,651,"ENERO",166.57,401.05
89,653,"ENERO",166.57,401.05
90,654,"ENERO",166.57,401.05
91,645,"ENERO",166.57,401.05
92,657,"ENERO",166.57,401.05
93,670,"ENERO",60.03,410.85
94,665,"ENERO",60.03,410.85
95,688,"ENERO",60.03,410.85
96,681,"ENERO",60.03,410.85
97,671,"ENERO",60.03,410.85
98,2069,"ENERO",147.01,352.76
99,2249,"ENERO",147.01,352.76
100,738,"ENERO",147.01,352.76
101,1807,"ENERO",147.01,352.76
102,2442,"ENERO",147.01,352.76
103,809,"ENERO",155.26,397.32
104,2505,"ENERO",155.26,397.32
105,1671,"ENERO",155.26,397.32
106,1440,"ENERO",210.41,368.12
107,2495,"ENERO",210.41,368.12
108,828,"ENERO",101.75,401.05
109,815,"ENERO",129.27,401.05
110,819,"ENERO",101.75,401.05
111,823,"ENERO",129.27,401.05
112,818,"ENERO",101.75,401.05
113,841,"ENERO",95.44,401.05
114,840,"ENERO",95.44,401.05
115,835,"ENERO",95.44,401.05
116,831,"ENERO",95.44,401.05
117,838,"ENERO",95.44,401.05
118,871,"ENERO",129.27,401.05
119,1677,"ENERO",129.27,401.05
120,845,"ENERO",129.27,401.05
121,853,"ENERO",129.27,401.05
122,878,"ENERO",129.27,401.05
123,899,"ENERO",94.27,401.05
124,901,"ENERO",94.27,401.05
125,894,"ENERO",94.27,401.05
126,893,"ENERO",94.27,401.05
127,908,"ENERO",94.27,401.05
128,956,"ENERO",94.27,401.05
129,946,"ENERO",94.27,401.05
130,915,"ENERO",94.27,401.05
131,1681,"ENERO",94.27,401.05
132,955,"ENERO",94.27,401.05
133,969,"ENERO",147.01,352.76
134,967,"ENERO",147.01,352.76
135,978,"ENERO",147.01,352.76
136,968,"ENERO",147.01,352.76
137,970,"ENERO",147.01,352.76
138,990,"ENERO",129.27,401.05
139,1019,"ENERO",129.27,401.05
140,980,"ENERO",129.27,401.05
141,1014,"ENERO",129.27,401.05
142,989,"ENERO",129.27,401.05
143,1863,"ENERO",155.26,397.32
144,1039,"ENERO",155.26,397.32
145,1864,"ENERO",155.26,397.32
146,1071,"ENERO",155.26,397.32
147,1070,"ENERO",155.26,397.32
148,1080,"ENERO",210.41,368.12
149,1109,"ENERO",210.41,368.12
150,1881,"ENERO",210.41,368.12
151,2603,"ENERO",210.41,368.12
152,2584,"ENERO",210.41,368.12
153,1166,"ENERO",95.44,401.05
154,1709,"ENERO",95.44,401.05
155,2676,"ENERO",95.44,401.05
156,1515,"ENERO",95.44,401.05
157,2667,"ENERO",95.44,401.05
158,1224,"ENERO",101.75,401.05
159,1223,"ENERO",101.75,401.05
160,1197,"ENERO",101.75,401.05
161,1213,"ENERO",101.75,401.05
162,1214,"ENERO",166.57,401.05
163,1196,"ENERO",101.75,401.05
164,46,"FEBRERO",101.75,403.37
165,45,"FEBRERO",101.75,403.37
166,43,"FEBRERO",101.75,403.37
167,37,"FEBRERO",101.75,403.37
168,44,"FEBRERO",101.75,403.37
169,51,"FEBRERO",93.44,368.19
170,50,"FEBRERO",93.44,368.19
171,49,"FEBRERO",93.44,368.19
172,48,"FEBRERO",93.44,368.19
173,52,"FEBRERO",93.44,368.19
174,53,"FEBRERO",93.44,263.93
